Special Price:,Now only:
My Wishlist,Wishlist
My Wishlist (%d item),Wishlist (%d)
My Wishlist (%d items),Wishlist (%d)
My Account,Account
Cart,Cart
View Cart,View Cart
View all items in your shopping cart,View all items in your shopping cart
View All,View All
Compare,Compare
Compare Products,Compare Products
Compare all selected items,Compare all selected items
Currency,Currency
Language,Language
Sign Up,Sign Up
Enter your e-mail,Enter your e-mail
Click to see more products from %s,Click to see more products from %s
Related Products,Sản phẩm liên quan
Zoom,Zoom
image {current} of {total},{current} / {total}
New,Mới
Sale,Giảm giá
Categories,Danh mục
Menu,Menu
Email to a Friend,Share
Product Tags,Tags
Popular Tags, Phổ biến
Product Description,Chi tiết
Additional Information,Thông số kỹ thuật
Other Products,Other Products
manufacturer, phân loại
Manufacturer, Phân loại
Weight, Cân nặng
Country of Manufacture, Nơi sản xuất
Page:, Trang:
Relevance, Mặc định